,Unnamed: 0,Real Upper Band,Real Middle Band,Real Lower Band
0,0.0,673.6742,673.1096,672.5449
1,1.0,673.3343,673.1661,672.9979
2,2.0,673.3076,673.1511,672.9945
3,3.0,673.2989,673.1413,672.9838
4,4.0,673.2823,673.1343,672.9863
5,5.0,673.6742,673.1096,672.5449
6,6.0,673.3343,673.1661,672.9979
7,7.0,673.3076,673.1511,672.9945
8,8.0,673.2989,673.1413,672.9838
9,9.0,673.2823,673.1343,672.9863
2025-11-14 20:00:00,,673.6742,673.1096,672.5449
2025-11-14 19:59:00,,673.3343,673.1661,672.9979
2025-11-14 19:58:00,,673.3076,673.1511,672.9945
2025-11-14 19:57:00,,673.2989,673.1413,672.9838
2025-11-14 19:56:00,,673.2823,673.1343,672.9863
